Dane zostały wczytane poprawnie!
R: 34903, P: 59, Q: 28609
R: 19712, P: 42, Q: 15779
R: 19719, P: 41, Q: 24644
R: 19720, P: 87, Q: 30806
R: 19754, P: 7, Q: 5360
R: 19784, P: 48, Q: 12445
R: 19876, P: 75, Q: 4693
R: 19889, P: 93, Q: 22711
R: 19904, P: 48, Q: 8924
R: 19970, P: 18, Q: 32238
R: 20000, P: 15, Q: 30688
R: 20015, P: 75, Q: 31951
R: 20065, P: 6, Q: 9985
R: 20103, P: 50, Q: 6687
R: 20140, P: 81, Q: 30495
R: 20141, P: 84, Q: 35831
R: 20171, P: 43, Q: 14475
R: 20178, P: 60, Q: 7109
R: 20251, P: 96, Q: 27718
R: 20252, P: 94, Q: 15498
R: 20280, P: 41, Q: 31718
R: 20281, P: 44, Q: 25333
R: 20330, P: 74, Q: 2534
R: 20356, P: 65, Q: 35528
R: 20360, P: 76, Q: 34967
R: 20376, P: 55, Q: 24398
R: 20378, P: 64, Q: 14405
R: 20379, P: 42, Q: 323
R: 20503, P: 91, Q: 19206
R: 20534, P: 23, Q: 19831
R: 20620, P: 80, Q: 33867
R: 20628, P: 54, Q: 6169
R: 20662, P: 43, Q: 7122
R: 20688, P: 16, Q: 2752
R: 20789, P: 99, Q: 29340
R: 20845, P: 76, Q: 16552
R: 20890, P: 15, Q: 3354
R: 20978, P: 8, Q: 30251
R: 21052, P: 87, Q: 9270
R: 21126, P: 23, Q: 7419
R: 21154, P: 19, Q: 27919
R: 21158, P: 22, Q: 15238
R: 21181, P: 92, Q: 7019
R: 21183, P: 92, Q: 36510
R: 21202, P: 50, Q: 6206
R: 21206, P: 85, Q: 6516
R: 21256, P: 92, Q: 5559
R: 21259, P: 64, Q: 2268
R: 21357, P: 15, Q: 35425
R: 21364, P: 88, Q: 36385
R: 21387, P: 58, Q: 9742
R: 21393, P: 81, Q: 10806
R: 21398, P: 20, Q: 22519
R: 21447, P: 22, Q: 21170
R: 21465, P: 86, Q: 28355
R: 21566, P: 79, Q: 28777
R: 21574, P: 28, Q: 21432
R: 21607, P: 91, Q: 15349
R: 21673, P: 49, Q: 14568
R: 21694, P: 99, Q: 28127
R: 21751, P: 1, Q: 35980
R: 21767, P: 97, Q: 18112
R: 21772, P: 57, Q: 21461
R: 21788, P: 83, Q: 30684
R: 21818, P: 55, Q: 11018
R: 21890, P: 16, Q: 29000
R: 21930, P: 64, Q: 30586
R: 21963, P: 27, Q: 8887
R: 21989, P: 75, Q: 14971
R: 22003, P: 88, Q: 1446
R: 22012, P: 48, Q: 3165
R: 22129, P: 22, Q: 15892
R: 22166, P: 54, Q: 12022
R: 22178, P: 89, Q: 2605
R: 22224, P: 85, Q: 5034
R: 22224, P: 29, Q: 23348
R: 22309, P: 88, Q: 28121
R: 22425, P: 18, Q: 17901
R: 22433, P: 37, Q: 28451
R: 22495, P: 35, Q: 23614
R: 22505, P: 100, Q: 7473
R: 22532, P: 39, Q: 5856
R: 22539, P: 14, Q: 25069
R: 22633, P: 84, Q: 29838
R: 22640, P: 57, Q: 27211
R: 22668, P: 28, Q: 21517
R: 22680, P: 1, Q: 23399
R: 22813, P: 79, Q: 3360
R: 22833, P: 35, Q: 2894
R: 22902, P: 77, Q: 35988
R: 22903, P: 46, Q: 31712
R: 22907, P: 55, Q: 16058
R: 22917, P: 37, Q: 2866
R: 22943, P: 80, Q: 22834
R: 22946, P: 59, Q: 20225
R: 22986, P: 25, Q: 22582
R: 23005, P: 31, Q: 32521
R: 23019, P: 69, Q: 252
R: 23038, P: 86, Q: 639
R: 23082, P: 24, Q: 30045
R: 23084, P: 62, Q: 10063
R: 23226, P: 19, Q: 685
R: 23325, P: 45, Q: 18670
R: 23380, P: 58, Q: 28332
R: 23425, P: 94, Q: 29729
R: 23429, P: 39, Q: 17251
R: 23579, P: 86, Q: 14367
R: 23602, P: 67, Q: 27319
R: 23603, P: 63, Q: 21067
R: 23609, P: 7, Q: 13312
R: 23668, P: 1, Q: 36017
R: 23668, P: 63, Q: 12004
R: 23695, P: 25, Q: 28083
R: 23725, P: 39, Q: 11205
R: 23775, P: 46, Q: 4717
R: 23782, P: 76, Q: 265
R: 23790, P: 16, Q: 28564
R: 23794, P: 77, Q: 2263
R: 23843, P: 51, Q: 7408
R: 23862, P: 43, Q: 29092
R: 23866, P: 53, Q: 2600
R: 23930, P: 15, Q: 4720
R: 23947, P: 28, Q: 23842
R: 24028, P: 74, Q: 9085
R: 24077, P: 9, Q: 25788
R: 24178, P: 66, Q: 14230
R: 24252, P: 48, Q: 34238
R: 24270, P: 83, Q: 17368
R: 24277, P: 81, Q: 12208
R: 24378, P: 53, Q: 27473
R: 24390, P: 29, Q: 33960
R: 24412, P: 24, Q: 19878
R: 24430, P: 47, Q: 25243
R: 24505, P: 31, Q: 7501
R: 24541, P: 83, Q: 6743
R: 24548, P: 80, Q: 6913
R: 24591, P: 81, Q: 11585
R: 24673, P: 6, Q: 30076
R: 24684, P: 77, Q: 29928
R: 24687, P: 94, Q: 24464
R: 24804, P: 8, Q: 2553
R: 24871, P: 70, Q: 9127
R: 24887, P: 35, Q: 6411
R: 24929, P: 40, Q: 15346
R: 24941, P: 10, Q: 29220
R: 24960, P: 91, Q: 13938
R: 25028, P: 1, Q: 23196
R: 25122, P: 22, Q: 18952
R: 25159, P: 65, Q: 6539
R: 25263, P: 45, Q: 34338
R: 25265, P: 17, Q: 22539
R: 25326, P: 43, Q: 19425
R: 25361, P: 56, Q: 32840
R: 25375, P: 77, Q: 5343
R: 25401, P: 50, Q: 3517
R: 25415, P: 16, Q: 13292
R: 25520, P: 30, Q: 24403
R: 25536, P: 25, Q: 18488
R: 25568, P: 37, Q: 6502
R: 25608, P: 95, Q: 28899
R: 25652, P: 53, Q: 35453
R: 25690, P: 11, Q: 29298
R: 25706, P: 60, Q: 21809
R: 25718, P: 82, Q: 3677
R: 25720, P: 28, Q: 36806
R: 25766, P: 8, Q: 21508
R: 25975, P: 64, Q: 29751
R: 26096, P: 84, Q: 25883
R: 26139, P: 7, Q: 32443
R: 26145, P: 60, Q: 18313
R: 26154, P: 2, Q: 7449
R: 26161, P: 21, Q: 10016
R: 26198, P: 84, Q: 8463
R: 26203, P: 55, Q: 23276
R: 26209, P: 90, Q: 10217
R: 26263, P: 13, Q: 30790
R: 26265, P: 25, Q: 33956
R: 26305, P: 38, Q: 760
R: 26329, P: 34, Q: 2742
R: 26352, P: 91, Q: 36347
R: 26376, P: 8, Q: 32361
R: 26403, P: 96, Q: 35050
R: 26407, P: 11, Q: 2792
R: 26414, P: 8, Q: 16193
R: 26419, P: 49, Q: 35765
R: 26454, P: 68, Q: 34425
R: 26546, P: 23, Q: 14423
R: 26555, P: 10, Q: 2152
R: 26599, P: 47, Q: 8472
R: 26685, P: 3, Q: 21671
R: 26696, P: 63, Q: 7295
R: 26722, P: 68, Q: 9236
R: 26725, P: 89, Q: 10922
R: 26783, P: 48, Q: 33071
R: 26797, P: 28, Q: 19573
R: 26831, P: 8, Q: 4895
R: 26842, P: 16, Q: 20240
R: 26843, P: 42, Q: 11299
R: 26989, P: 85, Q: 36829
R: 27065, P: 9, Q: 17906
R: 27171, P: 74, Q: 14913
R: 27190, P: 85, Q: 33142
R: 27196, P: 75, Q: 16123
R: 27263, P: 68, Q: 32273
R: 27297, P: 72, Q: 9557
R: 27335, P: 29, Q: 14395
R: 27356, P: 79, Q: 6146
R: 27405, P: 44, Q: 20964
R: 27449, P: 12, Q: 12138
R: 27458, P: 1, Q: 17073
R: 27499, P: 91, Q: 25751
R: 27510, P: 4, Q: 16905
R: 27542, P: 87, Q: 16853
R: 27642, P: 11, Q: 19851
R: 27718, P: 9, Q: 4190
R: 27733, P: 4, Q: 28452
R: 27776, P: 10, Q: 32271
R: 27797, P: 58, Q: 1556
R: 27845, P: 60, Q: 3321
R: 27857, P: 47, Q: 12320
R: 27882, P: 22, Q: 10422
R: 27882, P: 53, Q: 10238
R: 27926, P: 100, Q: 19005
R: 27951, P: 22, Q: 28662
R: 28062, P: 40, Q: 9322
R: 28123, P: 60, Q: 14927
R: 28137, P: 20, Q: 12657
R: 28193, P: 100, Q: 35387
R: 28240, P: 93, Q: 12225
R: 28246, P: 63, Q: 12102
R: 28290, P: 12, Q: 36174
R: 28329, P: 92, Q: 4048
R: 28471, P: 89, Q: 31117
R: 28559, P: 38, Q: 29974
R: 28614, P: 17, Q: 14269
R: 28632, P: 80, Q: 36940
R: 28731, P: 72, Q: 25813
R: 28740, P: 67, Q: 5566
R: 28801, P: 82, Q: 22944
R: 28824, P: 72, Q: 18723
R: 28838, P: 15, Q: 2766
R: 28944, P: 44, Q: 17592
R: 28960, P: 96, Q: 2679
R: 29022, P: 5, Q: 19335
R: 29026, P: 87, Q: 19066
R: 29028, P: 78, Q: 20864
R: 29129, P: 87, Q: 25968
R: 29197, P: 30, Q: 59
R: 29263, P: 34, Q: 1873
R: 29295, P: 72, Q: 17112
R: 29327, P: 40, Q: 15471
R: 29435, P: 27, Q: 11910
R: 29520, P: 28, Q: 4134
R: 29545, P: 16, Q: 15718
R: 29637, P: 25, Q: 22794
R: 29652, P: 60, Q: 11497
R: 29657, P: 21, Q: 7510
R: 29835, P: 77, Q: 19910
R: 29914, P: 27, Q: 34548
R: 30080, P: 89, Q: 14235
R: 30176, P: 19, Q: 29192
R: 30211, P: 2, Q: 26271
R: 30288, P: 90, Q: 8533
R: 30291, P: 94, Q: 13381
R: 30303, P: 97, Q: 9972
R: 30395, P: 15, Q: 20886
R: 30405, P: 1, Q: 27143
R: 30454, P: 45, Q: 32846
R: 30469, P: 10, Q: 29640
R: 30492, P: 86, Q: 22965
R: 30505, P: 9, Q: 34168
R: 30526, P: 9, Q: 35096
R: 30565, P: 50, Q: 25119
R: 30646, P: 7, Q: 18453
R: 30676, P: 73, Q: 21478
R: 30813, P: 68, Q: 35352
R: 30859, P: 13, Q: 12003
R: 30909, P: 24, Q: 27801
R: 30918, P: 73, Q: 1791
R: 30985, P: 14, Q: 28499
R: 31099, P: 37, Q: 26350
R: 31130, P: 23, Q: 15239
R: 31207, P: 46, Q: 5311
R: 31214, P: 42, Q: 15567
R: 31261, P: 96, Q: 20222
R: 31277, P: 6, Q: 8775
R: 31288, P: 76, Q: 7493
R: 31294, P: 29, Q: 27159
R: 31302, P: 16, Q: 34125
R: 31324, P: 71, Q: 7917
R: 31331, P: 66, Q: 35751
R: 31334, P: 30, Q: 5865
R: 31370, P: 51, Q: 12549
R: 31398, P: 2, Q: 10795
R: 31403, P: 35, Q: 14730
R: 31453, P: 6, Q: 11218
R: 31457, P: 41, Q: 19640
R: 31483, P: 63, Q: 11278
R: 31530, P: 61, Q: 30156
R: 31556, P: 23, Q: 34250
R: 31597, P: 50, Q: 34866
R: 31614, P: 77, Q: 29863
R: 31666, P: 51, Q: 21984
R: 31701, P: 66, Q: 3970
R: 31722, P: 36, Q: 22670
R: 31724, P: 36, Q: 26816
R: 31747, P: 18, Q: 2055
R: 31772, P: 49, Q: 24345
R: 31785, P: 88, Q: 2351
R: 31788, P: 66, Q: 27645
R: 31805, P: 41, Q: 6888
R: 31906, P: 8, Q: 1681
R: 31917, P: 58, Q: 35920
R: 31956, P: 24, Q: 267
R: 31980, P: 52, Q: 32402
R: 32049, P: 54, Q: 19202
R: 32055, P: 80, Q: 5508
R: 32067, P: 61, Q: 21787
R: 32112, P: 54, Q: 14076
R: 32113, P: 26, Q: 9741
R: 32135, P: 80, Q: 19667
R: 32138, P: 76, Q: 33590
R: 32296, P: 18, Q: 31520
R: 32309, P: 18, Q: 28522
R: 32330, P: 53, Q: 9434
R: 32501, P: 44, Q: 25013
R: 32532, P: 75, Q: 9646
R: 32620, P: 88, Q: 8396
R: 32635, P: 78, Q: 11350
R: 32665, P: 7, Q: 24034
R: 32687, P: 59, Q: 32311
R: 32706, P: 30, Q: 28500
R: 32721, P: 15, Q: 32113
R: 32764, P: 70, Q: 6031
R: 32810, P: 11, Q: 25846
R: 32816, P: 30, Q: 15848
R: 32879, P: 55, Q: 13254
R: 32887, P: 82, Q: 29284
R: 32911, P: 60, Q: 30098
R: 32981, P: 55, Q: 12058
R: 33048, P: 8, Q: 34079
R: 33075, P: 59, Q: 23986
R: 33089, P: 58, Q: 14703
R: 33174, P: 52, Q: 21420
R: 33246, P: 89, Q: 25465
R: 33258, P: 22, Q: 14612
R: 33289, P: 82, Q: 24064
R: 33317, P: 14, Q: 7443
R: 33326, P: 38, Q: 30887
R: 33339, P: 43, Q: 24044
R: 33348, P: 9, Q: 30298
R: 33357, P: 94, Q: 33562
R: 33379, P: 94, Q: 18972
R: 33394, P: 54, Q: 4127
R: 33512, P: 86, Q: 21539
R: 33576, P: 7, Q: 28306
R: 33576, P: 79, Q: 3652
R: 33606, P: 73, Q: 30650
R: 33632, P: 99, Q: 16554
R: 33671, P: 17, Q: 33164
R: 33716, P: 60, Q: 28883
R: 33727, P: 3, Q: 10003
R: 33736, P: 72, Q: 33680
R: 33744, P: 31, Q: 14593
R: 33772, P: 4, Q: 23885
R: 33781, P: 96, Q: 31072
R: 33836, P: 56, Q: 18302
R: 33930, P: 80, Q: 30854
R: 34066, P: 76, Q: 20533
R: 34082, P: 80, Q: 20532
R: 34093, P: 19, Q: 3893
R: 34105, P: 76, Q: 354
R: 34138, P: 65, Q: 33098
R: 34148, P: 96, Q: 30481
R: 34178, P: 28, Q: 35200
R: 34203, P: 46, Q: 22000
R: 34204, P: 16, Q: 7025
R: 34216, P: 27, Q: 9633
R: 34259, P: 21, Q: 12313
R: 34316, P: 89, Q: 2923
R: 34371, P: 98, Q: 1646
R: 34401, P: 17, Q: 4071
R: 34401, P: 69, Q: 1420
R: 34410, P: 78, Q: 26575
R: 34425, P: 15, Q: 876
R: 34458, P: 10, Q: 12874
R: 34459, P: 31, Q: 35282
R: 34515, P: 64, Q: 30915
R: 34537, P: 75, Q: 3375
R: 34549, P: 26, Q: 17074
R: 34598, P: 57, Q: 481
R: 34616, P: 54, Q: 27451
R: 34684, P: 97, Q: 18541
R: 34693, P: 26, Q: 7006
R: 34815, P: 30, Q: 20647
R: 34840, P: 88, Q: 24046
R: 34852, P: 29, Q: 2002
R: 34903, P: 59, Q: 28609
R: 34928, P: 49, Q: 12765
R: 34971, P: 43, Q: 19138
R: 34994, P: 90, Q: 20131
R: 35005, P: 68, Q: 12068
R: 35048, P: 75, Q: 11807
R: 35057, P: 77, Q: 20224
R: 35058, P: 10, Q: 28551
R: 35085, P: 11, Q: 12905
R: 35104, P: 52, Q: 25543
R: 35143, P: 9, Q: 9225
R: 35198, P: 63, Q: 4974
R: 35205, P: 69, Q: 5011
R: 35365, P: 1, Q: 19954
R: 35447, P: 28, Q: 14199
R: 35461, P: 53, Q: 11765
R: 35489, P: 48, Q: 21362
R: 35495, P: 91, Q: 31743
R: 35497, P: 44, Q: 3378
R: 35586, P: 60, Q: 12787
R: 35635, P: 26, Q: 34147
R: 35696, P: 59, Q: 18931
R: 35761, P: 94, Q: 24381
R: 35853, P: 92, Q: 36646
R: 35970, P: 54, Q: 32868
R: 35993, P: 65, Q: 29621
R: 35999, P: 31, Q: 6740
R: 36098, P: 20, Q: 21145
R: 36115, P: 92, Q: 36645
R: 36183, P: 45, Q: 20730
R: 36200, P: 79, Q: 14656
R: 36212, P: 60, Q: 11670
R: 36217, P: 87, Q: 2920
R: 36228, P: 8, Q: 12174
R: 36301, P: 23, Q: 20388
R: 36345, P: 88, Q: 8288
R: 36439, P: 33, Q: 24334
R: 36500, P: 67, Q: 20088
R: 36532, P: 42, Q: 18438
R: 36534, P: 23, Q: 6203
R: 36627, P: 62, Q: 22036
R: 36706, P: 21, Q: 24904
R: 36759, P: 69, Q: 18061
R: 36764, P: 11, Q: 4900
R: 36798, P: 65, Q: 12230
R: 36810, P: 61, Q: 9971
R: 36813, P: 21, Q: 10809
R: 36857, P: 41, Q: 20857
R: 36869, P: 18, Q: 30995
R: 36913, P: 50, Q: 23730
R: 36975, P: 10, Q: 2852

Czas po sortowaniu po min. Rj: 86648

Czas liczenia: 0.125159[ms]

Posortowane po max. Qj:
R: 7575, P: 34, Q: 36991
R: 1786, P: 58, Q: 36988
R: 28632, P: 80, Q: 36940
R: 26989, P: 85, Q: 36829
R: 25720, P: 28, Q: 36806
R: 4223, P: 54, Q: 36746
R: 35853, P: 92, Q: 36646
R: 36115, P: 92, Q: 36645
R: 6323, P: 78, Q: 36559
R: 18408, P: 81, Q: 36543
R: 21183, P: 92, Q: 36510
R: 21364, P: 88, Q: 36385
R: 26352, P: 91, Q: 36347
R: 15059, P: 87, Q: 36340
R: 18863, P: 16, Q: 36316
R: 11262, P: 11, Q: 36288
R: 13805, P: 32, Q: 36280
R: 16163, P: 47, Q: 36279
R: 478, P: 92, Q: 36258
R: 17501, P: 16, Q: 36226
R: 19630, P: 20, Q: 36190
R: 28290, P: 12, Q: 36174
R: 5862, P: 83, Q: 36164
R: 1950, P: 40, Q: 36091
R: 23668, P: 1, Q: 36017
R: 15667, P: 80, Q: 36001
R: 22902, P: 77, Q: 35988
R: 21751, P: 1, Q: 35980
R: 31917, P: 58, Q: 35920
R: 14940, P: 77, Q: 35896
R: 20141, P: 84, Q: 35831
R: 7571, P: 11, Q: 35824
R: 12045, P: 48, Q: 35801
R: 5802, P: 90, Q: 35795
R: 2756, P: 68, Q: 35774
R: 26419, P: 49, Q: 35765
R: 18555, P: 52, Q: 35754
R: 31331, P: 66, Q: 35751
R: 2077, P: 13, Q: 35698
R: 8232, P: 23, Q: 35695
R: 1745, P: 38, Q: 35668
R: 15509, P: 59, Q: 35636
R: 4438, P: 44, Q: 35622
R: 20356, P: 65, Q: 35528
R: 4628, P: 24, Q: 35521
R: 13624, P: 49, Q: 35518
R: 11473, P: 66, Q: 35506
R: 25652, P: 53, Q: 35453
R: 1163, P: 43, Q: 35437
R: 18722, P: 20, Q: 35426
R: 21357, P: 15, Q: 35425
R: 28193, P: 100, Q: 35387
R: 2314, P: 60, Q: 35356
R: 30813, P: 68, Q: 35352
R: 3212, P: 54, Q: 35342
R: 13237, P: 3, Q: 35294
R: 34459, P: 31, Q: 35282
R: 15648, P: 35, Q: 35280
R: 1829, P: 33, Q: 35234
R: 4041, P: 51, Q: 35222
R: 34178, P: 28, Q: 35200
R: 7326, P: 93, Q: 35195
R: 30526, P: 9, Q: 35096
R: 6664, P: 59, Q: 35082
R: 11413, P: 70, Q: 35053
R: 26403, P: 96, Q: 35050
R: 20360, P: 76, Q: 34967
R: 12525, P: 28, Q: 34942
R: 31597, P: 50, Q: 34866
R: 12174, P: 57, Q: 34850
R: 1170, P: 81, Q: 34791
R: 674, P: 19, Q: 34633
R: 29914, P: 27, Q: 34548
R: 1350, P: 83, Q: 34545
R: 26454, P: 68, Q: 34425
R: 8547, P: 43, Q: 34359
R: 6051, P: 19, Q: 34351
R: 25263, P: 45, Q: 34338
R: 9655, P: 98, Q: 34327
R: 12003, P: 31, Q: 34311
R: 8779, P: 17, Q: 34291
R: 7350, P: 38, Q: 34287
R: 11926, P: 6, Q: 34273
R: 31556, P: 23, Q: 34250
R: 24252, P: 48, Q: 34238
R: 11248, P: 19, Q: 34228
R: 12925, P: 56, Q: 34224
R: 10116, P: 75, Q: 34212
R: 30505, P: 9, Q: 34168
R: 35635, P: 26, Q: 34147
R: 31302, P: 16, Q: 34125
R: 5774, P: 98, Q: 34081
R: 33048, P: 8, Q: 34079
R: 12071, P: 14, Q: 34035
R: 6681, P: 94, Q: 34022
R: 24390, P: 29, Q: 33960
R: 26265, P: 25, Q: 33956
R: 17906, P: 79, Q: 33923
R: 20620, P: 80, Q: 33867
R: 9461, P: 33, Q: 33859
R: 12524, P: 7, Q: 33833
R: 5575, P: 70, Q: 33825
R: 18811, P: 64, Q: 33703
R: 33736, P: 72, Q: 33680
R: 14820, P: 3, Q: 33675
R: 7868, P: 41, Q: 33661
R: 6191, P: 11, Q: 33658
R: 8793, P: 86, Q: 33636
R: 32138, P: 76, Q: 33590
R: 33357, P: 94, Q: 33562
R: 16908, P: 96, Q: 33356
R: 15339, P: 33, Q: 33341
R: 3503, P: 74, Q: 33323
R: 6602, P: 64, Q: 33289
R: 8606, P: 13, Q: 33234
R: 33671, P: 17, Q: 33164
R: 27190, P: 85, Q: 33142
R: 34138, P: 65, Q: 33098
R: 26783, P: 48, Q: 33071
R: 18021, P: 97, Q: 33057
R: 9599, P: 68, Q: 33006
R: 6867, P: 97, Q: 32991
R: 14756, P: 6, Q: 32941
R: 35970, P: 54, Q: 32868
R: 3520, P: 40, Q: 32867
R: 30454, P: 45, Q: 32846
R: 17621, P: 64, Q: 32841
R: 25361, P: 56, Q: 32840
R: 3521, P: 15, Q: 32797
R: 7086, P: 2, Q: 32789
R: 18825, P: 78, Q: 32755
R: 16449, P: 92, Q: 32748
R: 1478, P: 65, Q: 32668
R: 19078, P: 99, Q: 32632
R: 3625, P: 88, Q: 32587
R: 23005, P: 31, Q: 32521
R: 12753, P: 34, Q: 32505
R: 5531, P: 15, Q: 32487
R: 6861, P: 30, Q: 32458
R: 26139, P: 7, Q: 32443
R: 31980, P: 52, Q: 32402
R: 17884, P: 59, Q: 32370
R: 26376, P: 8, Q: 32361
R: 7821, P: 41, Q: 32337
R: 32687, P: 59, Q: 32311
R: 11, P: 55, Q: 32277
R: 27263, P: 68, Q: 32273
R: 27776, P: 10, Q: 32271
R: 19970, P: 18, Q: 32238
R: 5144, P: 3, Q: 32208
R: 220, P: 25, Q: 32167
R: 32721, P: 15, Q: 32113
R: 3809, P: 51, Q: 32048
R: 13455, P: 85, Q: 32046
R: 15400, P: 48, Q: 31973
R: 20015, P: 75, Q: 31951
R: 1765, P: 72, Q: 31938
R: 11340, P: 73, Q: 31852
R: 2909, P: 21, Q: 31826
R: 35495, P: 91, Q: 31743
R: 12840, P: 81, Q: 31719
R: 20280, P: 41, Q: 31718
R: 22903, P: 46, Q: 31712
R: 19473, P: 59, Q: 31527
R: 32296, P: 18, Q: 31520
R: 6815, P: 51, Q: 31434
R: 18509, P: 54, Q: 31209
R: 16783, P: 72, Q: 31158
R: 6370, P: 47, Q: 31122
R: 28471, P: 89, Q: 31117
R: 33781, P: 96, Q: 31072
R: 13938, P: 79, Q: 31042
R: 19168, P: 29, Q: 31035
R: 36869, P: 18, Q: 30995
R: 2320, P: 21, Q: 30965
R: 34515, P: 64, Q: 30915
R: 9579, P: 84, Q: 30890
R: 33326, P: 38, Q: 30887
R: 33930, P: 80, Q: 30854
R: 15024, P: 27, Q: 30838
R: 19720, P: 87, Q: 30806
R: 26263, P: 13, Q: 30790
R: 20000, P: 15, Q: 30688
R: 21788, P: 83, Q: 30684
R: 33606, P: 73, Q: 30650
R: 21930, P: 64, Q: 30586
R: 8302, P: 75, Q: 30558
R: 20140, P: 81, Q: 30495
R: 34148, P: 96, Q: 30481
R: 19621, P: 22, Q: 30434
R: 13881, P: 90, Q: 30390
R: 15659, P: 86, Q: 30357
R: 3207, P: 3, Q: 30319
R: 13635, P: 68, Q: 30314
R: 33348, P: 9, Q: 30298
R: 4517, P: 57, Q: 30295
R: 1490, P: 96, Q: 30272
R: 14401, P: 71, Q: 30254
R: 20978, P: 8, Q: 30251
R: 31530, P: 61, Q: 30156
R: 32911, P: 60, Q: 30098
R: 24673, P: 6, Q: 30076
R: 14236, P: 54, Q: 30065
R: 23082, P: 24, Q: 30045
R: 15685, P: 48, Q: 30014
R: 28559, P: 38, Q: 29974
R: 7237, P: 96, Q: 29954
R: 24684, P: 77, Q: 29928
R: 10519, P: 5, Q: 29913
R: 17054, P: 54, Q: 29911
R: 16456, P: 41, Q: 29868
R: 7156, P: 15, Q: 29867
R: 13518, P: 98, Q: 29866
R: 31614, P: 77, Q: 29863
R: 22633, P: 84, Q: 29838
R: 25975, P: 64, Q: 29751
R: 8343, P: 96, Q: 29745
R: 15205, P: 68, Q: 29744
R: 23425, P: 94, Q: 29729
R: 7946, P: 40, Q: 29660
R: 30469, P: 10, Q: 29640
R: 35993, P: 65, Q: 29621
R: 12795, P: 95, Q: 29619
R: 14012, P: 41, Q: 29542
R: 16808, P: 55, Q: 29524
R: 450, P: 91, Q: 29512
R: 3619, P: 94, Q: 29475
R: 13193, P: 89, Q: 29471
R: 20789, P: 99, Q: 29340
R: 25690, P: 11, Q: 29298
R: 32887, P: 82, Q: 29284
R: 19378, P: 22, Q: 29283
R: 5338, P: 16, Q: 29282
R: 24941, P: 10, Q: 29220
R: 30176, P: 19, Q: 29192
R: 6302, P: 83, Q: 29147
R: 23862, P: 43, Q: 29092
R: 11710, P: 16, Q: 29064
R: 1399, P: 67, Q: 29032
R: 21890, P: 16, Q: 29000
R: 12498, P: 57, Q: 28942
R: 25608, P: 95, Q: 28899
R: 33716, P: 60, Q: 28883
R: 1270, P: 99, Q: 28861
R: 7983, P: 50, Q: 28860
R: 9783, P: 87, Q: 28806
R: 21566, P: 79, Q: 28777
R: 6369, P: 5, Q: 28663
R: 27951, P: 22, Q: 28662
R: 747, P: 91, Q: 28645
R: 34903, P: 59, Q: 28609
R: 8627, P: 70, Q: 28587
R: 23790, P: 16, Q: 28564
R: 35058, P: 10, Q: 28551
R: 32309, P: 18, Q: 28522
R: 32706, P: 30, Q: 28500
R: 30985, P: 14, Q: 28499
R: 27733, P: 4, Q: 28452
R: 22433, P: 37, Q: 28451
R: 21465, P: 86, Q: 28355
R: 23380, P: 58, Q: 28332
R: 33576, P: 7, Q: 28306
R: 10706, P: 59, Q: 28283
R: 21694, P: 99, Q: 28127
R: 22309, P: 88, Q: 28121
R: 23695, P: 25, Q: 28083
R: 17186, P: 79, Q: 27972
R: 3767, P: 87, Q: 27966
R: 21154, P: 19, Q: 27919
R: 6721, P: 94, Q: 27889
R: 8443, P: 16, Q: 27877
R: 6885, P: 56, Q: 27824
R: 15698, P: 31, Q: 27823
R: 9257, P: 14, Q: 27807
R: 30909, P: 24, Q: 27801
R: 4386, P: 63, Q: 27773
R: 20251, P: 96, Q: 27718
R: 31788, P: 66, Q: 27645
R: 1316, P: 10, Q: 27563
R: 24378, P: 53, Q: 27473
R: 10698, P: 11, Q: 27469
R: 7691, P: 36, Q: 27463
R: 34616, P: 54, Q: 27451
R: 15568, P: 50, Q: 27433
R: 14910, P: 96, Q: 27392
R: 9691, P: 99, Q: 27320
R: 23602, P: 67, Q: 27319
R: 9768, P: 9, Q: 27287
R: 5276, P: 81, Q: 27273
R: 22640, P: 57, Q: 27211
R: 15948, P: 88, Q: 27176
R: 31294, P: 29, Q: 27159
R: 1519, P: 62, Q: 27146
R: 30405, P: 1, Q: 27143
R: 8385, P: 95, Q: 27129
R: 3052, P: 37, Q: 27108
R: 6158, P: 61, Q: 27099
R: 2836, P: 87, Q: 27081
R: 10309, P: 93, Q: 26994
R: 7879, P: 72, Q: 26986
R: 14961, P: 30, Q: 26935
R: 7465, P: 20, Q: 26934
R: 14465, P: 22, Q: 26924
R: 31724, P: 36, Q: 26816
R: 2773, P: 78, Q: 26814
R: 16999, P: 10, Q: 26794
R: 4280, P: 79, Q: 26765
R: 545, P: 30, Q: 26734
R: 14346, P: 76, Q: 26632
R: 34410, P: 78, Q: 26575
R: 15149, P: 76, Q: 26490
R: 9238, P: 17, Q: 26451
R: 31099, P: 37, Q: 26350
R: 30211, P: 2, Q: 26271
R: 4087, P: 29, Q: 26187
R: 13953, P: 25, Q: 26146
R: 2851, P: 75, Q: 26134
R: 13002, P: 19, Q: 25980
R: 29129, P: 87, Q: 25968
R: 18374, P: 99, Q: 25907
R: 26096, P: 84, Q: 25883
R: 11469, P: 90, Q: 25861
R: 32810, P: 11, Q: 25846
R: 28731, P: 72, Q: 25813
R: 2075, P: 69, Q: 25798
R: 24077, P: 9, Q: 25788
